Abbrv;State;Avg Rainfall (Inch);Avg Humidity;Avg Sunshine (%);Avg Daily Temp (¡F) ;Avg Score;Avg Value For Money Score;Avg Price ($)
AZ;Arizona;45.24;53.00;78.00;49.76;84.88;90.49;29.20
CA;California;44.53;53.33;45.50;47.71;88.63;91.72;38.99
CO;Colorado;26.00;63.67;68.00;35.28;86.12;90.86;32.99
CT;Connecticut;33.95;77.50;50.00;43.15;84.00;90.98;15.33
HI;Hawaii;72.78;76.50;51.00;68.18;87.00;91.63;28.00
ID;Idaho;29.63;54.67;35.00;39.03;86.61;91.92;20.77
IL;Illinois;27.74;84.80;37.75;41.20;84.50;90.09;32.33
IA;Iowa;22.50;87.00;40.00;37.75;83.00;90.47;15.50
KY;Kentucky;37.20;85.50;46.50;47.08;83.00;89.17;35.00
MA;Massachusetts;32.05;74.50;49.00;41.85;84.86;91.01;21.29
MI;Michigan;27.45;80.40;44.33;42.55;86.15;90.91;32.43
MO;Missouri;33.70;87.50;45.50;45.00;83.33;90.51;17.33
NV;Nevada;29.00;48.75;58.33;33.10;84.25;89.61;37.75
NJ;New Jersey;36.50;80.00;60.50;39.10;84.00;90.30;25.50
NM;New Mexico;37.17;62.33;71.50;44.03;83.96;90.48;22.42
NY;New York;30.15;79.50;26.80;39.95;87.18;92.07;22.83
NC;North Carolina;42.56;87.00;55.80;48.66;84.57;90.88;21.00
OH;Ohio;31.03;82.63;28.00;41.73;89.05;92.09;36.55
OR;Oregon;37.09;71.57;20.00;41.14;84.08;91.13;13.75
PA;Pennsylvania;33.46;80.29;33.67;42.49;84.56;90.72;23.33
RI;Rhode Island;34.30;77.00;51.00;42.60;90.00;93.33;25.00
TX;Texas;47.26;82.09;57.25;53.74;85.22;90.90;25.60
VT;Vermont;25.80;77.00;31.00;36.60;84.33;90.06;31.67
VA;Virginia;40.43;82.00;53.00;47.73;85.62;91.01;27.01
WA;Washington;33.68;76.40;19.33;40.60;88.95;92.31;32.44
